idx,pfx,val
15062,708,643
20651,708,638
2235,709,626
7830,709,640
13419,709,646
19008,709,635
592,710,629
6187,710,645
11776,710,649
17365,710,648
22949,710,633
4544,711,650
10133,711,656
15722,711,653
21306,711,642
2901,712,659
8490,712,666
14079,712,661
19663,712,652
1258,713,671
6847,713,673
12436,713,673
18020,713,658
23615,713,678
5204,714,685
10793,714,681
16382,714,668
21972,714,681
3561,715,681
9150,715,683
14739,715,666
20329,715,681
1918,716,686
7507,716,680
13091,716,662
18686,716,679
275,717,685
5864,717,678
11448,717,666
17043,717,681
22632,717,681
4221,718,670
9805,718,664
15400,718,676
20989,718,676
2578,719,660
8162,719,659
13757,719,666
19346,719,666
935,720,646
6525,720,653
12114,720,657
17703,720,649
23287,720,634
4882,721,645
10471,721,647
16060,721,637
21644,721,627
3239,722,637
8828,722,640
14417,722,623
20001,722,623
1596,723,631
7185,723,628
12774,723,610
18358,723,616
23953,723,619
5542,724,621
11131,724,600
16721,724,609
22310,724,613
3899,725,610
9483,725,591
15078,725,603
20667,725,604
2256,726,598
7840,726,587
13429,726,593
19024,726,602
613,727,594
6197,727,579
11792,727,591
17381,727,593
22970,727,591
4559,728,579
10143,728,586
15738,728,591
21327,728,594
2916,729,582
8506,729,587
14095,729,594
19684,729,597
1273,730,587
6857,730,588
12452,730,595
18041,730,599
23630,730,594
5214,731,580
10809,731,597
16398,731,602
21987,731,602
3571,732,585
9166,732,604
14755,732,613
20344,732,614
1933,733,602
7523,733,611
13112,733,622
18701,733,622
290,734,611
5880,734,617
11469,734,631
17058,734,626
22647,734,621
4237,735,626
9826,735,638
15415,735,638
21004,735,628
2594,736,632
8183,736,643
13772,736,645
19361,736,642
945,737,638
6540,737,652
12129,737,654
17718,737,648
23302,737,652
4891,738,662
10486,738,663
16075,738,654
21659,738,666
3254,739,674
8843,739,673
14427,739,661
20016,739,680
1605,740,685
7200,740,682
12784,740,677
18373,740,692
23968,740,693
5557,741,681
11141,741,689
16730,741,701
22325,741,699
3909,742,693
9498,742,701
15087,742,706
20682,742,703
2266,743,706
7855,743,709
13450,743,710
19039,743,700
623,744,704
6212,744,715
11807,744,713
17391,744,704
22980,744,714
4575,745,719
10164,745,712
15748,745,719
21337,745,722
2932,746,720
8521,746,712
14105,746,723
19694,746,722
1289,747,719
6878,747,708
12462,747,726
18051,747,723
23646,747,720
5235,748,706
10819,748,726
16408,748,722
22003,748,720
3592,749,706
9176,749,722
14765,749,718
20360,749,716
1949,750,708
7533,750,713
13122,750,713
18717,750,712
306,751,707
5890,751,702
11479,751,704
17074,751,717
22663,751,710
4252,752,700
9836,752,696
15431,752,711
21020,752,713
2609,753,711
8193,753,704
13782,753,709
19377,753,718
966,754,722
6555,754,717
12139,754,725
17734,754,733
23323,754,738
4912,755,734
10496,755,736
16091,755,744
21680,755,750
3269,756,749
8853,756,745
14442,756,762
20037,756,763
1626,757,760
7210,757,752
12799,757,770
18394,757,772
23983,757,769
5572,758,762
11156,758,769
16751,758,770
22340,758,765
3929,759,749
9513,759,764
15108,759,761
20697,759,757
2286,760,744
7870,760,750
13465,760,747
19054,760,743
643,761,729
6227,761,735
11816,761,731
17411,761,724
23000,761,718
4584,762,719
10173,762,719
15762,762,716
21357,762,712
2941,763,706
8530,763,708
14119,763,713
19714,763,709
1298,764,696
6887,764,720
12476,764,714
18071,764,713
23660,764,704
5244,765,715
10833,765,717
16428,765,722
22017,765,718
3601,766,714
9190,766,735
14779,766,732
20374,766,734
1963,767,728
7547,767,743
13136,767,745
18731,767,750
320,768,750
5904,768,753
11493,768,772
17088,768,769
22677,768,769
4261,769,757
